fullTimestamp,Close,Volume,Timestamp
2021-08-02 09:30:00,149.5,201.0,2021-08-02 09:30:00
2021-08-02 09:31:00,149.46,348.0,2021-08-02 09:31:00
2021-08-02 09:32:00,149.43,197.0,2021-08-02 09:32:00
2021-08-02 09:33:00,149.44,239.0,2021-08-02 09:33:00
2021-08-02 09:34:00,149.48,139.0,2021-08-02 09:34:00
2021-08-02 09:35:00,149.455,187.0,2021-08-02 09:35:00
2021-08-02 09:36:00,149.51,281.0,2021-08-02 09:36:00
2021-08-02 09:37:00,149.52,117.0,2021-08-02 09:37:00
2021-08-02 09:38:00,149.495,130.0,2021-08-02 09:38:00
2021-08-02 09:39:00,149.49,162.0,2021-08-02 09:39:00
2021-08-02 09:40:00,149.47,344.0,2021-08-02 09:40:00
2021-08-02 09:41:00,149.54,326.0,2021-08-02 09:41:00
2021-08-02 09:42:00,149.478,272.0,2021-08-02 09:42:00
2021-08-02 09:43:00,149.515,111.0,2021-08-02 09:43:00
2021-08-02 09:44:00,149.515,127.0,2021-08-02 09:44:00
2021-08-02 09:45:00,149.46,266.0,2021-08-02 09:45:00
2021-08-02 09:46:00,149.45,160.0,2021-08-02 09:46:00
2021-08-02 09:47:00,149.405,159.0,2021-08-02 09:47:00
2021-08-02 09:48:00,149.38,75.0,2021-08-02 09:48:00
2021-08-02 09:49:00,149.25,152.0,2021-08-02 09:49:00
2021-08-02 09:50:00,149.24,196.0,2021-08-02 09:50:00
2021-08-02 09:51:00,149.32,207.0,2021-08-02 09:51:00
2021-08-02 09:52:00,149.34,137.0,2021-08-02 09:52:00
2021-08-02 09:53:00,149.33,265.0,2021-08-02 09:53:00
2021-08-02 09:54:00,149.44,259.0,2021-08-02 09:54:00
2021-08-02 09:55:00,149.36,142.0,2021-08-02 09:55:00
2021-08-02 09:56:00,149.41,72.0,2021-08-02 09:56:00
2021-08-02 09:57:00,149.39,147.0,2021-08-02 09:57:00
2021-08-02 09:58:00,149.37,45.0,2021-08-02 09:58:00
2021-08-02 09:59:00,149.39,266.0,2021-08-02 09:59:00
2021-08-02 10:00:00,149.38,899.0,2021-08-02 10:00:00
2021-08-02 10:01:00,149.33,304.0,2021-08-02 10:01:00
2021-08-02 10:02:00,149.4,335.0,2021-08-02 10:02:00
2021-08-02 10:03:00,149.48,837.0,2021-08-02 10:03:00
2021-08-02 10:04:00,149.57,414.0,2021-08-02 10:04:00
2021-08-02 10:05:00,149.66,265.0,2021-08-02 10:05:00
2021-08-02 10:06:00,149.625,264.0,2021-08-02 10:06:00
2021-08-02 10:07:00,149.665,259.0,2021-08-02 10:07:00
2021-08-02 10:08:00,149.68,144.0,2021-08-02 10:08:00
2021-08-02 10:09:00,149.645,257.0,2021-08-02 10:09:00
2021-08-02 10:10:00,149.7,145.0,2021-08-02 10:10:00
2021-08-02 10:11:00,149.71,198.0,2021-08-02 10:11:00
2021-08-02 10:12:00,149.8,321.0,2021-08-02 10:12:00
2021-08-02 10:13:00,149.83,238.0,2021-08-02 10:13:00
2021-08-02 10:14:00,149.92,238.0,2021-08-02 10:14:00
2021-08-02 10:15:00,149.98,626.0,2021-08-02 10:15:00
2021-08-02 10:16:00,150.0,384.0,2021-08-02 10:16:00
2021-08-02 10:17:00,150.1,495.0,2021-08-02 10:17:00
2021-08-02 10:18:00,150.02,513.0,2021-08-02 10:18:00
2021-08-02 10:19:00,150.12,382.0,2021-08-02 10:19:00
2021-08-02 10:20:00,150.16,414.0,2021-08-02 10:20:00
2021-08-02 10:21:00,150.125,448.0,2021-08-02 10:21:00
2021-08-02 10:22:00,150.15,270.0,2021-08-02 10:22:00
2021-08-02 10:23:00,150.17,341.0,2021-08-02 10:23:00
2021-08-02 10:24:00,150.13,162.0,2021-08-02 10:24:00
2021-08-02 10:25:00,150.125,181.0,2021-08-02 10:25:00
2021-08-02 10:26:00,150.075,473.0,2021-08-02 10:26:00
2021-08-02 10:27:00,149.99,227.0,2021-08-02 10:27:00
2021-08-02 10:28:00,150.15,385.0,2021-08-02 10:28:00
2021-08-02 10:29:00,150.25,243.0,2021-08-02 10:29:00
2021-08-02 10:30:00,150.13,349.0,2021-08-02 10:30:00
2021-08-02 10:31:00,150.14,309.0,2021-08-02 10:31:00
2021-08-02 10:32:00,150.14,151.0,2021-08-02 10:32:00
2021-08-02 10:33:00,150.04,335.0,2021-08-02 10:33:00
2021-08-02 10:34:00,150.04,185.0,2021-08-02 10:34:00
2021-08-02 10:35:00,150.02,244.0,2021-08-02 10:35:00
2021-08-02 10:36:00,150.07,214.0,2021-08-02 10:36:00
2021-08-02 10:37:00,150.125,412.0,2021-08-02 10:37:00
2021-08-02 10:38:00,150.15,188.0,2021-08-02 10:38:00
2021-08-02 10:39:00,150.18,375.0,2021-08-02 10:39:00
2021-08-02 10:40:00,150.142,100.0,2021-08-02 10:40:00
2021-08-02 10:41:00,150.11,351.0,2021-08-02 10:41:00
2021-08-02 10:42:00,150.08,252.0,2021-08-02 10:42:00
2021-08-02 10:43:00,150.05,111.0,2021-08-02 10:43:00
2021-08-02 10:44:00,150.07,173.0,2021-08-02 10:44:00
2021-08-02 10:45:00,150.14,207.0,2021-08-02 10:45:00
2021-08-02 10:46:00,150.11,173.0,2021-08-02 10:46:00
2021-08-02 10:47:00,150.175,161.0,2021-08-02 10:47:00
2021-08-02 10:48:00,150.1,61.0,2021-08-02 10:48:00
2021-08-02 10:49:00,150.09,152.0,2021-08-02 10:49:00
2021-08-02 10:50:00,150.15,259.0,2021-08-02 10:50:00
2021-08-02 10:51:00,150.18,108.0,2021-08-02 10:51:00
2021-08-02 10:52:00,150.23,85.0,2021-08-02 10:52:00
2021-08-02 10:53:00,150.27,108.0,2021-08-02 10:53:00
2021-08-02 10:54:00,150.27,200.0,2021-08-02 10:54:00
2021-08-02 10:55:00,150.357,485.0,2021-08-02 10:55:00
2021-08-02 10:56:00,150.42,210.0,2021-08-02 10:56:00
2021-08-02 10:57:00,150.46,403.0,2021-08-02 10:57:00
2021-08-02 10:58:00,150.47,176.0,2021-08-02 10:58:00
2021-08-02 10:59:00,150.5,268.0,2021-08-02 10:59:00
2021-08-02 11:00:00,150.33,348.0,2021-08-02 11:00:00
2021-08-02 11:01:00,150.34,389.0,2021-08-02 11:01:00
2021-08-02 11:02:00,150.39,161.0,2021-08-02 11:02:00
2021-08-02 11:03:00,150.37,136.0,2021-08-02 11:03:00
2021-08-02 11:04:00,150.36,189.0,2021-08-02 11:04:00
2021-08-02 11:05:00,150.35,146.0,2021-08-02 11:05:00
2021-08-02 11:06:00,150.34,41.0,2021-08-02 11:06:00
2021-08-02 11:07:00,150.33,188.0,2021-08-02 11:07:00
2021-08-02 11:08:00,150.36,142.0,2021-08-02 11:08:00
2021-08-02 11:09:00,150.37,213.0,2021-08-02 11:09:00
2021-08-02 11:10:00,150.38,327.0,2021-08-02 11:10:00
2021-08-02 11:11:00,150.48,652.0,2021-08-02 11:11:00
2021-08-02 11:12:00,150.48,151.0,2021-08-02 11:12:00
